mode,backend,iter,fault_param,pre_fault_height,verify_result,recovery_s,best_after,mismatches
byteflip-100,rocksdb,13,100,000049.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,14,100,table_04_33,PASS,17,5000,0
byteflip-100,rocksdb,14,100,LOG,PASS,11,5000,0
byteflip-100,paritydb,15,100,table_01_40,PASS,18,5000,0
byteflip-100,rocksdb,15,100,000045.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,16,100,table_02_b1,PASS,17,5000,0
byteflip-100,rocksdb,16,100,000060.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,17,100,table_01_42,PASS,17,5000,0
byteflip-100,rocksdb,17,100,000052.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,18,100,table_01_26,PASS,16,5000,0
byteflip-100,rocksdb,18,100,000053.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,19,100,index_05_16,PASS,15,5000,0
byteflip-100,rocksdb,19,100,000067.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,20,100,table_02_ae,PASS,15,5000,0
byteflip-100,rocksdb,20,100,000041.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,21,100,table_02_b0,PASS,15,5000,0
byteflip-100,rocksdb,21,100,000045.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,22,100,table_02_b6,PASS,17,5000,0
byteflip-100,rocksdb,22,100,000060.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,23,100,table_01_66,PASS,16,5000,0
byteflip-100,rocksdb,23,100,000066.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,24,100,table_05_e1,PASS,16,5000,0
byteflip-100,rocksdb,24,100,000038.log,FAIL_REOPEN,30,0,0
byteflip-100,paritydb,25,100,table_01_35,PASS,17,5000,0
byteflip-100,rocksdb,25,100,000048.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,1,1024,table_02_67,PASS,17,5000,0
byteflip-1024,rocksdb,1,1024,000063.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,2,1024,index_05_16,PASS,18,5000,0
byteflip-1024,rocksdb,2,1024,MANIFEST-000009,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,3,1024,table_08_4a,PASS,15,5000,0
byteflip-1024,rocksdb,3,1024,000067.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,4,1024,table_01_22,PASS,17,5000,0
byteflip-1024,rocksdb,4,1024,000056.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,5,1024,table_00_1a,FAIL_REOPEN,30,0,0
byteflip-1024,rocksdb,5,1024,000048.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,6,1024,table_01_42,PASS,16,5000,0
byteflip-1024,rocksdb,6,1024,000052.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,7,1024,table_01_62,PASS,16,5000,0
byteflip-1024,rocksdb,7,1024,000060.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,8,1024,table_01_2e,FAIL_REOPEN,30,0,0
byteflip-1024,rocksdb,8,1024,000067.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,9,1024,table_08_73,PASS,15,5000,0
byteflip-1024,rocksdb,9,1024,LOG,PASS,11,5000,0
byteflip-1024,paritydb,10,1024,table_02_b9,FAIL_REOPEN,30,0,0
byteflip-1024,rocksdb,10,1024,000042.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,11,1024,table_04_33,PASS,15,5000,0
byteflip-1024,rocksdb,11,1024,000059.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,12,1024,table_02_b3,PASS,16,5000,0
byteflip-1024,rocksdb,12,1024,000060.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,13,1024,table_05_dc,PASS,16,5000,0
byteflip-1024,rocksdb,13,1024,000069.sst,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,14,1024,table_00_18,PASS,16,5000,0
byteflip-1024,rocksdb,14,1024,000055.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,15,1024,table_02_04,PASS,13,5000,0
byteflip-1024,rocksdb,15,1024,000063.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,16,1024,table_05_d4,PASS,18,5000,0
byteflip-1024,rocksdb,16,1024,000046.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,17,1024,table_00_00,PASS,18,5000,0
byteflip-1024,rocksdb,17,1024,000008.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,18,1024,table_01_4b,PASS,17,5000,0
byteflip-1024,rocksdb,18,1024,000042.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,19,1024,table_05_00,PASS,18,5000,0
byteflip-1024,rocksdb,19,1024,000067.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,20,1024,table_01_46,PASS,19,5000,0
byteflip-1024,rocksdb,20,1024,000008.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,21,1024,table_01_2c,FAIL_REOPEN,30,0,0
byteflip-1024,rocksdb,21,1024,000069.sst,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,22,1024,table_01_6a,PASS,12,5000,0
byteflip-1024,rocksdb,22,1024,000008.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,23,1024,table_02_b0,PASS,17,5000,0
byteflip-1024,rocksdb,23,1024,000039.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,24,1024,table_00_1b,PASS,19,5000,0
byteflip-1024,rocksdb,24,1024,000042.log,FAIL_REOPEN,30,0,0
byteflip-1024,paritydb,25,1024,table_02_69,PASS,13,5000,0
byteflip-1024,rocksdb,25,1024,000041.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,1,10240,table_02_c3,FAIL_REOPEN,30,0,0
byteflip-10240,rocksdb,1,10240,000045.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,2,10240,table_01_1c,FAIL_REOPEN,30,0,0
byteflip-10240,rocksdb,2,10240,000049.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,3,10240,table_08_5a,PASS,18,5000,0
byteflip-10240,rocksdb,3,10240,000062.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,4,10240,table_02_bb,FAIL_REOPEN,30,0,0
byteflip-10240,rocksdb,4,10240,000065.sst,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,5,10240,table_02_ab,PASS,17,5000,0
byteflip-10240,rocksdb,5,10240,000055.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,6,10240,table_02_b8,FAIL_REOPEN,30,0,0
byteflip-10240,rocksdb,6,10240,000049.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,7,10240,table_01_66,PASS,15,5000,0
byteflip-10240,rocksdb,7,10240,000060.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,8,10240,table_01_3c,PASS,16,5000,0
byteflip-10240,rocksdb,8,10240,000052.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,9,10240,table_05_08,FAIL_REOPEN,30,0,0
byteflip-10240,rocksdb,9,10240,000059.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,10,10240,table_05_bb,PASS,11,5000,0
byteflip-10240,rocksdb,10,10240,000067.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,11,10240,table_01_62,FAIL_REOPEN,30,0,0
byteflip-10240,rocksdb,11,10240,000067.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,12,10240,table_01_45,PASS,17,5000,0
byteflip-10240,rocksdb,12,10240,MANIFEST-000009,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,13,10240,table_05_93,PASS,15,5000,0
byteflip-10240,rocksdb,13,10240,000066.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,14,10240,table_02_74,PASS,16,5000,0
byteflip-10240,rocksdb,14,10240,000038.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,15,10240,table_01_47,PASS,16,5000,0
byteflip-10240,rocksdb,15,10240,000053.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,16,10240,table_02_62,PASS,17,5000,0
byteflip-10240,rocksdb,16,10240,000053.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,17,10240,table_05_da,PASS,19,5000,0
byteflip-10240,rocksdb,17,10240,000056.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,18,10240,table_02_b4,PASS,12,5000,0
byteflip-10240,rocksdb,18,10240,OPTIONS-000037,PASS,11,5000,0
byteflip-10240,paritydb,19,10240,table_05_08,PASS,17,5000,0
byteflip-10240,rocksdb,19,10240,000060.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,20,10240,table_02_04,PASS,18,5000,0
byteflip-10240,rocksdb,20,10240,000049.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,21,10240,table_02_07,PASS,17,5000,0
byteflip-10240,rocksdb,21,10240,000048.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,22,10240,table_02_74,FAIL_REOPEN,30,0,0
byteflip-10240,rocksdb,22,10240,000048.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,23,10240,table_01_21,PASS,18,5000,0
byteflip-10240,rocksdb,23,10240,000048.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,24,10240,table_02_67,PASS,20,5000,0
byteflip-10240,rocksdb,24,10240,000039.log,FAIL_REOPEN,30,0,0
byteflip-10240,paritydb,25,10240,index_06_16,PASS,15,5000,0
byteflip-10240,rocksdb,25,10240,000059.log,FAIL_REOPEN,30,0,0
